IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"JZFA","1","Мира - май","2017-05-12","41E","2017-04-01","0",46647,641,1211.49,0.0,0.0,0.01,1211.5,0,0,"0     0"
"KEFI","1","","2017-05-10","41E","2017-04-01","0",32116,447,894.0,15.0,0.0,500.0,1409.0,0,0,"0     0"
"KB8Z","1","","2017-05-10","41E","2017-04-01","0",27460,687,1305.3,0.0,14.7,0.01,1320.01,0,0,"0     0"
"KB90","1","","2017-05-10","41E","2017-04-01","0",30015,800,1520.0,0.0,16.0,0.01,1536.01,0,0,"0     0"
"KB92","1","","2017-05-10","41E","2017-04-01","0",27598,1051,1996.9,0.0,23.0,0.01,2019.91,0,0,"0     0"
"KB94","1","","2017-05-10","41E","2017-04-01","0",38692,571,1188.82,0.0,0.0,0.01,1188.83,0,0,"0     0"
"JZIC","1","Мазепа - май","2017-05-03","41E","2017-04-01","0",10521,517,1473.45,0.0,0.0,0.01,1473.46,0,0,"0     0"
"JZJF","1","Косиора - май","2017-05-10","41E","2017-04-01","0",12136,647,1843.95,0.0,0.0,150.0,1993.95,0,0,"0     0"
"KFKB","1","","2017-05-25","41E","2017-05-01","0",72929,546,1336.61,0.0,0.0,0.01,1336.62,0,0,"0     0"
"JW1B","1","Универсам - май","2017-05-23","41E","2017-05-01","0",8030,1130,2373.0,0.0,0.0,1000.0,3373.0,0,0,"0     0"
"L7PC","1","","2017-05-23","41E","2017-05-01","0",18018,539,1293.6,0.0,0.0,0.01,1293.61,0,0,"0     0"
"JW0A","1","Ивушка - май","2017-05-23","41E","2017-05-01","0",22700,533,1279.2,76.79,0.0,0.01,1356.0,0,0,"0     0"
"K7UW","1","","2017-05-29","41E","2017-05-01","0",10210,1493,3075.58,0.0,0.0,1000.0,4075.58,0,0,"0     0"
"KAX9","1","+потери +мусор+охрана+ пожарная+вода и все равно не сходится","2017-05-27","41E","2017-05-01","0",40470,734,1945.1,37.0,48.9,0.01,2031.01,0,0,"0     0"
"KAY2","1","","2017-05-24","41E","2017-05-01","0",32624,619,1485.6,0.0,0.0,0.01,1485.61,0,0,"0     0"
"KAYB","1","","2017-05-27","41E","2017-05-01","0",66256,414,1407.6,0.0,0.0,0.01,1407.61,0,0,"0     0"
"JUOB","1","Пушкина - май","2017-05-31","41E","2017-05-01","0",43940,716,1373.93,0.0,726.0,0.01,2099.94,0,0,"0     0"
"KAYO","1","","2017-05-27","41E","2017-05-01","0",34823,676,2397.1,0.0,0.0,0.01,2397.11,0,0,"0     0"
"KAYX","1","","2017-05-27","41E","2017-05-01","0",7561,610,2219.18,635.81,0.0,0.01,2855.0,0,0,"0     0"
"JSO2","1","Кичкас май 17","2017-05-24","41E","2017-05-01","0",25708,593,1209.72,26.52,12.0,0.01,1248.25,0,0,"0     0"
"KBMB","1","","2017-05-20","41E","2017-05-01","0",37170,648,1296.0,0.0,6.44,0.01,1302.45,0,0,"0     0"
"JW1E","1","Палермо - май","2017-05-19","41E","2017-05-01","0",52050,535,1551.5,142.5,0.0,0.01,1694.01,0,0,"0     0"
"JW1T","1","Инженерная - май","2017-05-21","41E","2017-05-01","0",27209,684,1778.4,0.0,0.0,0.01,1778.41,0,0,"0     0"
"KFJ8","1","","2017-05-25","41E","2017-05-01","0",42214,401,888.62,0.0,8.89,0.01,897.52,0,0,"0     0"
